,id,type,data
167,TOR201904030,ump3b,millb901
168,TOR201904030,howscored,park
169,TOR201904030,pitches,pitches
170,TOR201904030,oscorer,starh701
171,TOR201904030,temp,68
172,TOR201904030,winddir,unknown
173,TOR201904030,windspeed,0
174,TOR201904030,fieldcond,unknown
175,TOR201904030,precip,unknown
176,TOR201904030,sky,dome
177,TOR201904030,timeofgame,162
178,TOR201904030,attendance,11436
179,TOR201904030,wp,shoem001
180,TOR201904030,lp,karnn001
181,TOR201904030,save,gilek001
182,TOR201904120,visteam,TBA
183,TOR201904120,hometeam,TOR
184,TOR201904120,site,TOR02
185,TOR201904120,date,2019/04/12
186,TOR201904120,number,0
187,TOR201904120,starttime,7:08PM
188,TOR201904120,daynight,night
189,TOR201904120,usedh,true
190,TOR201904120,umphome,wolcq901
191,TOR201904120,ump1b,cedeg901
192,TOR201904120,ump2b,dejer901
193,TOR201904120,ump3b,hudsm901
194,TOR201904120,howscored,park
195,TOR201904120,pitches,pitches
196,TOR201904120,oscorer,starh701
197,TOR201904120,temp,68
198,TOR201904120,winddir,unknown
199,TOR201904120,windspeed,0
200,TOR201904120,fieldcond,unknown
201,TOR201904120,precip,unknown
202,TOR201904120,sky,dome
203,TOR201904120,timeofgame,201
204,TOR201904120,attendance,17326
205,TOR201904120,wp,yarbr001
206,TOR201904120,lp,thort002
207,TOR201904120,save,
208,TOR201904130,visteam,TBA
209,TOR201904130,hometeam,TOR
210,TOR201904130,site,TOR02
211,TOR201904130,date,2019/04/13
212,TOR201904130,number,0
213,TOR201904130,starttime,3:07PM
214,TOR201904130,daynight,day
215,TOR201904130,usedh,true
216,TOR201904130,umphome,cedeg901
217,TOR201904130,ump1b,dejer901
218,TOR201904130,ump2b,hudsm901
219,TOR201904130,ump3b,wolcq901
220,TOR201904130,howscored,park
221,TOR201904130,pitches,pitches
222,TOR201904130,oscorer,starh701
223,TOR201904130,temp,68
224,TOR201904130,winddir,unknown
225,TOR201904130,windspeed,0
226,TOR201904130,fieldcond,unknown
227,TOR201904130,precip,unknown
228,TOR201904130,sky,dome
229,TOR201904130,timeofgame,164
230,TOR201904130,attendance,20771
231,TOR201904130,wp,pannt001
232,TOR201904130,lp,roe-c001
233,TOR201904130,save,gilek001
234,TOR201904140,visteam,TBA
235,TOR201904140,hometeam,TOR
236,TOR201904140,site,TOR02
237,TOR201904140,date,2019/04/14
238,TOR201904140,number,0
239,TOR201904140,starttime,1:09PM
240,TOR201904140,daynight,day
241,TOR201904140,usedh,true
242,TOR201904140,umphome,dejer901
243,TOR201904140,ump1b,hudsm901
244,TOR201904140,ump2b,wolcq901
245,TOR201904140,ump3b,cedeg901
246,TOR201904140,howscored,park
247,TOR201904140,pitches,pitches
248,TOR201904140,oscorer,moreh701
249,TOR201904140,temp,68
250,TOR201904140,winddir,unknown
251,TOR201904140,windspeed,0
252,TOR201904140,fieldcond,unknown
253,TOR201904140,precip,unknown
254,TOR201904140,sky,dome
255,TOR201904140,timeofgame,221
256,TOR201904140,attendance,20512
257,TOR201904140,wp,kolaa001
258,TOR201904140,lp,strom001
259,TOR201904140,save,
260,TOR201904230,visteam,SFN
261,TOR201904230,hometeam,TOR
262,TOR201904230,site,TOR02
263,TOR201904230,date,2019/04/23
264,TOR201904230,number,0
265,TOR201904230,starttime,7:08PM
266,TOR201904230,daynight,night
267,TOR201904230,usedh,true
268,TOR201904230,umphome,wolfj901
269,TOR201904230,ump1b,iassd901
270,TOR201904230,ump2b,estam901
271,TOR201904230,ump3b,lentn901
272,TOR201904230,howscored,park
273,TOR201904230,pitches,pitches
274,TOR201904230,oscorer,lajor701
275,TOR201904230,temp,68
276,TOR201904230,winddir,unknown
277,TOR201904230,windspeed,0
278,TOR201904230,fieldcond,unknown
279,TOR201904230,precip,unknown
280,TOR201904230,sky,dome
281,TOR201904230,timeofgame,186
282,TOR201904230,attendance,20384
283,TOR201904230,wp,samaj001
284,TOR201904230,lp,thort002
285,TOR201904230,save,smitw002
